question,answer
Your team lead needs a list of all commits that will be moved before you perform a rebase. Which command can you use to access that information?<br><ol><li>git rebase -log</li><li>git rebase -i</li><li>git rebase -verbose</li><li>git rebase -all</li></ol>,git rebase -i
What is the operation doing given the Git commands below?<br><br>```<br>git bisect start<br>git bisect bad 5d41402abc4b2a76b9719d911017c592<br>git bisect good 69faab6268350295550de7d587bc323d<br>```<br><br><ol><li>It runs a merge of a good commit that is discovered using a known bad commit and known good commit</li><li>It marks a commit for deletion using a known bad commit and known good commit to determine which commit introduced a bug</li><li>It defines a bad commit and resets the HEAD using a known bad commit and known good commit</li><li>It performs a binary search using a known bad commit and known good commit to determine which commit introduced a bug</li></ol>,It performs a binary search using a known bad commit and known good commit to determine which commit introduced a bug
"In a situation where you have several commits for a single task, what is the most efficient way to restructure your commit history?<br><ol><li>Cherry pick the related commits to another branch.</li><li>Delete the task commits and recommit with a new message.</li><li>Squash the related commits together into a single coherent commit.</li><li>Stash the related commits under a new hash.</li></ol>",Squash the related commits together into a single coherent commit.
Which of the following is true of the git push command?<br><ol><li>By default a push doesn't send tags to the remote repository.</li><li>Commits can only be tagged when they are created.</li><li>Tags are pushed to the remote repository with their respective commits.</li><li>Only annotated tags are automatically pushed to the remote repository with a commit.</li></ol>,By default a push doesn't send tags to the remote repository.<br><br>[Reference](https://git-scm.com/book/en/v2/Git-Basics-Tagging#_sharing_tags)<br>
"After pushing commits to the remote repository for the first time using the command below, what shorthand command can you use in future?<br><br>```bash<br>git push -u origin master<br>```<br><br><ol><li>git push master</li><li>git push origin</li><li>Same as before, git push -u origin master</li><li>git push</li></ol>",git push
How would you create a custom shortcut or command across your git environment?<br><ol><li>Run git hotfix with the shortcut name.</li><li>Assign a shortcut or command using git options file.</li><li>Use the git custom-key command.</li><li>Create an alias usin the git config command.</li></ol>,Create an alias usin the git config command.
"What is the status of the beta-notes.js file in the following output?<br><br>```shell<br>Changes not staged for commit:<br>(use ""git add <file>..."" to update what will be committed)<br>(use ""git checkout -- <file>..."" to discard changes in working directory)<br>modified: beta-notes.js<br>```<br><br><ol><li>beta-notes.js is untracked and has been modified.</li><li>beta-notes.js is a tracked file and has been modified, but has not been added to the current commit.</li><li>beta-notes.js is untracked but has been added to the current commit.</li><li>beta-notes.js is tracked, and the modified file has been added to the current commit.</li></ol>","beta-notes.js is a tracked file and has been modified, but has not been added to the current commit."
What command would let you modify your previous commit?<br><ol><li>--fix</li><li>--quickfix</li><li>--modify</li><li>--amend</li></ol>,--amend
What is the best way to characterize the git commit structure?<br><ol><li>Data array</li><li>Data log</li><li>Data snapshot</li><li>Data dictionary</li></ol>,Data log
What change will the following command make to the staging area files?<br><br>`git rm --cached testfile.js`<br><br><ol><li>testfile.js will be removed from the staging area and its changes no longer tracked.</li><li>testfile.js will be removed from the staging area but its changes will still be tracked.</li><li>A copy of testfile.js will be cached on your desktop.</li><li>The current copy of testfile.js will be saved in the staging area.</li></ol>,testfile.js will be removed from the staging area and its changes no longer tracked.
"After you've successfully merged two branches and committed the changes, what is the next step in keeping your git structure organized?<br><ol><li>Use the git reset --soft HEAD to roll back one commit.</li><li>Run git branch -d `<branch name>` to delete the merged branch.</li><li>Use git clear-all to clean up any hanging files.</li><li>Run git rebase to move the current commit to its original location.</li></ol>",Run git rebase to move the current commit to its original location.
"While modifying a file, you're unexpectedly assigned an urgent bug fix on another branch. How can you temporarily save your local work without committing?<br><ol><li>This is not possible, as you cannot save locally without committing.</li><li>Run git hold to save a local copy of what you're doing to return to later.</li><li>Save your work with git local-cache.</li><li>Use git stash to save your work and come back later and reapply the stashed commit.</li></ol>",Use git stash to save your work and come back later and reapply the stashed commit.
What command would you use to create a new git repository?<br><ol><li>git add</li><li>git start</li><li>git new</li><li>git init</li></ol>,git init
"While working on a feature branch you try to use ""git rerere"" to solve a recurring merge conflict but nothing is happening. What could be causing this issue?<br><ol><li>The ""-all"" option isn't added to the command.</li><li>""rerere.enabled"" isn't enable in the config file.</li><li>The commit hash is missing.</li><li>The filepath isn't specified.</li></ol>","""rerere.enabled"" isn't enable in the config file."
Which setting determines what pager is used when Git pages output?<br><ol><li>core.page</li><li>page</li><li>pager</li><li>core.pager</li></ol>,core.pager
"What does commit object contain?<br><ol><li>A set of files, representing the state of a project at a given point of time.</li><li>Reference to parent commit objects.</li><li>An SHA1 name, a 40-character string that uniquely identifies the commit object.</li></ol>","An SHA1 name, a 40-character string that uniquely identifies the commit object."
Which option enables inclusion of committer name in custom log format?<br><ol><li>%ce</li><li>%cr</li><li>%cd</li><li>%cn</li></ol>,%cn
How many ways are present in Git to integrate changes from one branch into another?<br><ol><li>3</li><li>5</li><li>2</li><li>4</li></ol>,"2<br><br>[Reference link](https://git-scm.com/book/en/v2/Git-Branching-Rebasing)<br>`In Git, there are two main ways to integrate changes from one branch into another: the merge and the rebase.`<br>"
Which user should be created first during setting up of SSH?<br><ol><li>git</li><li>admin</li><li>root</li><li>None of these</li></ol>,git
Which command will list tags with the 1.4.2 series?<br><ol><li>git tag 'v1.4.2'</li><li>git tag -I 'v1.4.2.\*'</li><li>git tag-list 'v1.4.2\*'</li><li>git tag 'v1.4.2\*'</li></ol>,git tag -I 'v1.4.2.\*'
Which of the following is an integration manager?<br><ol><li>lieutenants</li><li>benevolent dictator</li><li>Depends upon project type</li><li>Depends upon data</li></ol>,benevolent dictator
Which Git command begins tracking of a new file?<br><ol><li>add</li><li>addfile</li><li>begin</li><li>track</li></ol>,add
Which of the following is called dumb protocol?<br><ol><li>All of these</li><li>SSH</li><li>Git</li><li>HTTP</li></ol>,HTTP
"Which key press returns a set of suggestions to pick from, when writing a Git command?<br><ol><li>Control</li><li>Shift</li><li>Tab</li><li>Alt</li></ol>",Tab
Which of these terms best describes Git?<br><ol><li>Distributed Version Control System</li><li>Issue Tracking System</li><li>Integrated Development Environment</li><li>Web-Based Repository Hosting Service</li></ol>,Distributed Version Control System
Which command gets a copy of an existing Git repository?<br><ol><li>duplicate</li><li>replicate</li><li>copy</li><li>clone</li></ol>,clone
How does Git think of its data?<br><ol><li>File</li><li>None of these</li><li>Snapshot</li><li>Folder</li></ol>,Snapshot
Which option enables inclusion of author name in custom log format?<br><ol><li>%am</li><li>%ad</li><li>%ae</li><li>%an</li></ol>,%an
Which version onwards did Git offer reversing a file back to what it looked like when last committed?<br><ol><li>1.7</li><li>1.6</li><li>2.0</li><li>1.8</li></ol>,1.6
Which strategy is used by Git for merging two branches?<br><ol><li>LIFO</li><li>recursive</li><li>FIFO</li><li>octopus</li></ol>,recursive
What does refs store?<br><ol><li>SHA-1 value</li><li>None of these</li><li>Branch name</li><li>Project name</li></ol>,SHA-1 value
What Language is used in GIT?<br><ol><li>C</li><li>C++</li><li>C#</li><li>Java</li></ol>,C
What is usually the extension of file which has the public key?<br><ol><li>ssh</li><li>pub</li><li>key</li><li>pk</li></ol>,pub
What is the difference between initializing a normal repo and a bare repo?<br><ol><li>Bare repos store their git history in a .git subfolder.</li><li>Bare repos do not have the .git extension.</li><li>Bare repos do not come with working or checked-out source files.</li><li>Bare repos should be used for local rather than remote repos.</li></ol>,Bare repos do not come with working or checked-out source files.
How many individual commits can a single repository have?<br><ol><li>any number of commits</li><li>only one commit local per repository</li><li>only three commits per branch</li><li>only one commit per HEAD</li></ol>,any number of commits
What types of tags does Git support?<br><ol><li>heavy and concise</li><li>lightweight and immutable</li><li>heavy and annotated</li><li>lightweight and annotated</li></ol>,lightweight and annotated
"After staging a series of changes to the index, which command could you use to review them prior to a commit?<br><ol><li>git diff --cached</li><li>git diff</li><li>git diff --HEAD</li><li>git status -v -v</li></ol>",git diff --cached
What does the git stash drop command do?<br><ol><li>removes the most recent stash entry</li><li>deletes the stash</li><li>lists everything in the stash</li><li>throws away the oldest entry</li></ol>,removes the most recent stash entry
What command creates a new branch from the currently checked-out branch?<br><ol><li>`git -b checkout <nameOfBranch>`</li><li>`git branch`</li><li>`git checkout <nameOfBranch>`</li><li>`git checkout -b <nameOfBranch>`</li></ol>,`git checkout -b <nameOfBranch>`
"After mistakenly staging a file named myFile to the index, how would you remove it from the index to exclude it from your next commit?<br><ol><li>Use git reset HEAD^.</li><li>Use git reset myFile.txt.</li><li>Use git -rm myFile.txt.</li><li>Use git reset.</li></ol>",Use git reset myFile.txt.
What happens if you run this command from your master branch?<br><br>```bash<br>git checkout -b beta-test<br>```<br><br><ol><li>The beta-test branch will be checked out of the current commit.</li><li>The beta-test branch will be checked out and deleted.</li><li>A new branch called beta-test will be created and switched to.</li><li>The beta-test branch will be merged with the master branch.</li></ol>,A new branch called beta-test will be created and switched to.
How does Git internally manage branches?<br><ol><li>by creating a pointer to the most recent snapshot/commit for the branch.</li><li>by creating a data array of branches in the same repository.</li><li>by creating a data dictionary of code changes.</li><li>be creating a debug log that stores repository changes.</li></ol>,by creating a pointer to the most recent snapshot/commit for the branch.
You want to perform a git reset but cannot recall all of the available options. What command would you use to see a description of them?<br><ol><li>git help reset</li><li>git -h reset</li><li>git options reset</li><li>git reset help</li></ol>,git help reset
What is a remote repository?<br><ol><li>a version of the repository that mirrors changes made in the local repository's master branch for open-source collaboration efforts</li><li>the lead repository elected by the Git arbitrator found within local repositories of collaborating team members</li><li>a read-only version of the repository stored on a backup server in case local repositories become lost or corrupted</li><li>a version of the repository hosted on the internet or network that is pushed to or pulled from by collaborators</li></ol>,a version of the repository hosted on the internet or network that is pushed to or pulled from by collaborators
"After modifying some existing files in a repository, you decide to discard the changes. What command can you use?<br><ol><li>git restore</li><li>git undo</li><li>git clean</li><li>git checkout</li></ol>",git restore
"After starting to merge a feature branch into your master branch, you encounter a merge conflict and decide you do not want to perform the merge. How can you stop the merge and restore to the pre-merge state?<br><ol><li>Use git restore -p.</li><li>Use git merge -u.</li><li>Use git merge --abort.</li><li>Use git merge --undo.</li></ol>",Use git merge --abort.
"If you have several commits for a single feature, what is the most efficient way to restructure your commit history?<br><ol><li>Use git stash to consolidate the commits under a new hash.</li><li>Use git squash to consolidate the commits together into a single coherent commit.</li><li>Delete the task commits and recommit with a new message.</li><li>Use git cherry-pick to place the commits in another branch.</li></ol>",Use git squash to consolidate the commits together into a single coherent commit.
"Which command correctly creates a lightweight tag?<br><ol><li>`git tag v3.8.1`</li><li>`git tag --light ""v3.8.1""`</li><li>`git tag v3.8.1 —-annotate -m ""<tagMessage>""`</li><li>`git tag -l v3.8.1`</li></ol>",`git tag v3.8.1`
What is the main issue with using git rebase when working with multiple developers?<br><ol><li>Rebase affects only your repository and creates a diff in the master branch.</li><li>Rebase creates a temporary copy of the master branch in the remote repo.</li><li>Rebase moves the HEAD of the remote master branch one commit forward.</li><li>Rebase deletes all commit history for the new feature branch.</li></ol>,Rebase deletes all commit history for the new feature branch.
What Git workflow is used by teams that collaborate on a single branch and avoid creating long-lived development branches?<br><ol><li>Git flow</li><li>Mainline flow</li><li>Trunk-Based Development</li><li>GitHub flow</li></ol>,Trunk-Based Development
Which option on the git log command allows you to limit output to commits made after certain date?<br><ol><li>`--since`</li><li>`--sinceWhen`</li><li>`-<n>`</li><li>`--afterDate`</li></ol>,`--since`
How would you delete unreachable objects older than a specified time from your project database?<br><ol><li>`git cache --obsolete <time>`</li><li>`git branch --rebase <time>`</li><li>`git delete --inert <time>`</li><li>`git prune --expire <time>`</li></ol>,`git prune --expire <time>`
"What conflicts can occur when forcing a push after rebasing?<br><ol><li>The remote master branch could have existing changes overwritten.</li><li>The origin URL will be reset to its default value.</li><li>The current HEAD will be deleted and can't be reinstated.</li><li>Nothing, it's common practice to force a push after rebasing.</li></ol>",The remote master branch could have existing changes overwritten.
"How does this command alter the currently checked-out branch?<br><br>`git reset --soft HEAD^`<br><br><ol><li>It resets the working branch to the first commit.</li><li>It sets HEAD to previous commit and leaves changes from the undone commit in the stage/index.</li><li>It deletes all previous commits and resets the repository history back to its initial state.</li><li>It keeps the HEAD at the current commit, but clears all previous commits.</li></ol>",It sets HEAD to previous commit and leaves changes from the undone commit in the stage/index.
"What is the difference between Git and SVN?<br><ol><li>Git works only on Linux, while SVN works on all operating systems.</li><li>SVN works only on Linux, while Git works on all operating systems.</li><li>SVN is a centralized system, while Git is a distributed system.</li><li>Git a centralized system, while SVN is a distributed system.</li></ol>","SVN is a centralized system, while Git is a distributed system."
"This command is an example of what kind of tag?<br><br>`git tag -a v1.4 -m ""ABCD v1.5""`<br><br><ol><li>verbose</li><li>annotated</li><li>lightweight</li><li>deferred</li></ol>",annotated
"What is the difference between a soft reset (`git reset --soft`) and a hard reset (`git reset –hard`) ?<br><ol><li>A soft reset only changes the commit that HEAD points to, while a hard reset resets the index and working tree to match the specified commit, discarding any changes.</li><li>A soft reset caches the old HEAD pointer, while a hard reset deletes it entirely.</li><li>A hard reset changes only where the HEAD is pointing, while a soft reset changes the HEAD and index.</li><li>A hard reset caches the old HEAD pointer, while a soft reset deletes it entirely.</li></ol>","A soft reset only changes the commit that HEAD points to, while a hard reset resets the index and working tree to match the specified commit, discarding any changes."
Consider the following Git workflow:<br><br>![image](images/Git-WorkFlow.png)<br>Which of the following options is correct ?<br><br><ol><li>`1. Develop 2. Release 3. Hotfix 4. Feature 5. Master`</li><li>`1. Master 2. Release 3. Hotfix 4. Feature 5. Develop`</li><li>`1. Develop 2. Master 3. Hotfix 4. Feature 5. Develop`</li><li>`1. Master 2. Hotfix 3. Develop 4. Feature 5. Release`</li></ol>,`1. Master 2. Hotfix 3. Develop 4. Feature 5. Release`
What information does the git config file store?<br><ol><li>shell scripts and flags</li><li>keychain and account information</li><li>local and global repository options</li><li>pre-compile scripts and settings</li></ol>,"local and global repository options<br><br>[Reference](https://www.atlassian.com/git/tutorials/setting-up-a-repository/git-config#:~:text=The%20git%20config%20command%20is,modify%20a%20configuration%20text%20file.)<br>"
"What is version control?<br><ol><li>a type of architecture used to manage large databases</li><li>a system that shows, tracks, and controls changes to a set of files over time</li><li>a programmatic design pattern used to manage code between multiple engineering teams</li><li>a type of software that links a project with a GitHub repository</li></ol>","a system that shows, tracks, and controls changes to a set of files over time"
"What is the difference between using the git stash and git stash pop commands?<br><ol><li>git stash removes a commit from the repo history, while git stash pop saves changes to multiple branches.</li><li>git stash saves changes to multiple branches, while git stash pop removes a commit from the repo history.</li><li>git stash removes the most recent commit, while git stash pop saves current changes.</li><li>git stash creates a stash entry, while git stash pop places the saved state onto the working directory.</li></ol>","git stash creates a stash entry, while git stash pop places the saved state onto the working directory."
Which command can be used to list the branches that have been merged into the currently checked-out branch?<br><ol><li>git master --status</li><li>git branch --status</li><li>git branch --merged</li><li>git status --merged</li></ol>,git branch --merged
How would you configure Git to abort a commit if a smoke test script fails?<br><ol><li>Create a post-commit shell script that triggers the action.</li><li>Create a post-commit hook to trigger the script.</li><li>Create a pre-commit hook to trigger the script.</li><li>Create a pre-commit shell script that triggers the action.</li></ol>,Create a pre-commit hook to trigger the script.
Which use case is NOT a good candidate for a Git hook?<br><ol><li>state dependent environment changes</li><li>continuous integration</li><li>increasing code coverage</li><li>enforcing commit rules</li></ol>,state dependent environment changes
"After starting to work on a new feature and creating new files in the working directory related to it, the customer determined the feature was no longer required. What command can be used to remove the untracked files from the working directory ?<br><ol><li>`git clean -f`</li><li>`git rm .`</li><li>`git reset HEAD`</li><li>`git checkout .`</li></ol>",`git clean -f`
What information do Git reflogs (reference logs) store?<br><ol><li>shell script pointers and keychain credentials</li><li>updates to branch tips and other references in the local repository</li><li>release notes and hook script values</li><li>tag and versioning information</li></ol>,updates to branch tips and other references in the local repository
"You have just completed rebasing your master branch and need to manually update the remote master, even though there is a merge conflict. How can you accomplish this?<br><ol><li>`git push --overwrite`</li><li>`git push --update`</li><li>`git push --assert`</li><li>`git push --force-with-lease`</li></ol>",`git push --force-with-lease`
"What is the difference between `git fetch` and `git pull`<br><ol><li>`git fetch` creates a new branch off the master branch, while `git pull` creates a new branch off the local repository's master branch.</li><li>`git pull` downloads new data from a remote repository without integrating it into local files, while `git fetch` updates the current HEAD branch with the latest changes from the remote server.</li><li>`git fetch` updates remote tracking branches with changes from a remote repository, while `git pull` updates remote tracking branches with changes from a remote repository and merges them into their corresponding local branches.</li><li>`git fetch` downloads and merges data from the local repository, while `git pull` informs your colleagues you are about to make changes to the master branch.</li></ol>","`git fetch` updates remote tracking branches with changes from a remote repository, while `git pull` updates remote tracking branches with changes from a remote repository and merges them into their corresponding local branches."
"What command displays the difference between the working tree and the stage/index area, as well as files not tracked by Git?<br><ol><li>`git current`</li><li>`git status`</li><li>`git local`</li><li>`git context`</li></ol>",`git status`
"Your current repository has three branches: master, beta, and push-notifications. You have just finished the notification feature and commit the changes to the push-notification branch, and you want to include them in the beta branch. How can you accomplish this?<br><ol><li>Check out the beta branch and run git merge push-notifications.</li><li>Check out the push-notifications branch and run git merge beta.</li><li>Check out the master branch and run git merge beta -> push-notifications.</li><li>Delete the push-notifications branch; it will be committed to the master branch automatically.</li></ol>",Check out the beta branch and run git merge push-notifications.
"You would like to restore some previously stashed work to a new branch. How can you do that?<br><ol><li>Use `git branch <stash hash>`.</li><li>Add the stashed commits to the current commit, then create a new branch.</li><li>Use `git checkout -b`.</li><li>Run `git stash branch <branch name>`.</li></ol>",Run `git stash branch <branch name>`.<br><br>[reference here](https://stackoverflow.com/questions/6925099/git-stash-changes-apply-to-new-branch)<br>
"What is the difference between git branch -d and git branch -D?<br><ol><li>-D deletes the local branch, while -d deletes the branch regardless of push and merge status.</li><li>-d deletes the current commit head, while -D deletes the entire branch.</li><li>-d deletes the local branch, while -D deletes the local branch regardless of push and merge status.</li><li>-D deletes the current commit head, while -d deletes the entire branch.</li></ol>","-d deletes the local branch, while -D deletes the local branch regardless of push and merge status."
You stashed three sets of changes but cannot remember the contents of the first stash entry. What command would you use to see the details of the changes in the first of the three stash entries?<br><ol><li>git stash show -p stash@{2}</li><li>git stash list</li><li>git stash show -p stash@{1}</li><li>git stash show -p</li></ol>,git stash show -p stash@{2}<br><br>[reference here](https://stackoverflow.com/questions/10725729/see-whats-in-a-stash-without-applying-it)<br>
"Which statement is true of the git push command?<br><ol><li>By default, a push doesn't send tags to the remote repository.</li><li>Only annotated tags are automatically pushed to the remote repository with a commit.</li><li>Tags are pushed to the remote repository with their respective commits.</li><li>Commits can be tagged only when they are created.</li></ol>","By default, a push doesn't send tags to the remote repository.<br><br>[reference here](https://git-scm.com/book/en/v2/Git-Basics-Tagging)<br>"
How would you delete a remote branch in your repository?<br><ol><li>Use `git --delete <branch_name>`.</li><li>Use `git push <remote_name> --d <branch_name>`.</li><li>Use `git push <remote_name> --D`.</li><li>Use `git push <remote_name> --delete <branch_name>`.</li></ol>,Use `git push <remote_name> --delete <branch_name>`.<br><br>[reference here](https://stackoverflow.com/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely)<br>
What is the default setting of `git reflog` when no subcommands are specified?<br><ol><li>delete</li><li>expire</li><li>show</li><li>update</li></ol>,show<br><br>[reference here](https://git-scm.com/docs/git-reflog)<br>
How does the `-p` option change the behavior of the `git add` command<br><ol><li>It causes tracked files in the parent directory to be included in the staged files.</li><li>It allows developers to interactively choose which changes to tracked files are staged and outputs the differences for review.</li><li>It automatically pushes changes to the corresponding branch on the remote repository.</li><li>It allows developers to interactively choose which files are committed and outputs the differences for review.</li></ol>,It allows developers to interactively choose which changes to tracked files are staged and outputs the differences for review.<br><br>[reference here](https://git-scm.com/docs/git-add#Documentation/git-add.txt--p)<br>
