"<b> You are working with this XML code snippet from the XML document cars.xml. You need to return the information about the cars built after the year </b><br><br>```xml<br><cars><br><car><make>Cadillac</make><model>Escalade</model><year>2007</year></car><br><car><make>Cadillac</make><model>Escalade</model><year>2011</year></car><br><car><make>Ford</make><model>Mustang</model><year>1968</year></car><br><car><make>Ford</make><model>Mustang</model><year>1998</year></car><br><car><make>Mercedes</make><model>C-Class</model><year>1999</year></car><br><car><make>Mercedes</make><model>C-Class</model><year>2009</year></car><br></cars><br>```<br><br><ul><li>`doc(""cars.xml"")/cars/car[year>2000].data`</li><li>`doc(""cars.xml"")/cars/car[xs:integer(year) gt 2000]`</li><li>`doc(""cars.xml"")/cars/car[year gt 2000]`</li><li>`doc(""cars.xml"")/cars/car[integer(year) > 2000]`</li></ul>","`doc(""cars.xml"")/cars/car[year>2000].data`"
"<b> What is the last step in extending XHTML modules?</b><br><ul><li>The last step is to complete the extension of XHTML compound documents and make sure the documents adhere to the defined namespaces.</li><li>The last step is to create the DTD for the XHTML extension, which references both the XHTML modules and the new modules.</li><li>The last step is to run the XHTML extension through the XSLT processor, which will properly format it.</li><li>The last step is to verify that the XHTML is well formed and valid, and compatible with most browsers.</li></ul>","The last step is to create the DTD for the XHTML extension, which references both the XHTML modules and the new modules."
"<b> In an XML DTD ATTLIST declaration, which default value is used to indicate that the attribute does not have to be included?</b><br><ul><li>`#DEFAULT`</li><li>`#OPTIONAL`</li><li>`#IMPLIED`</li><li>`#FIXED`</li></ul>",`#DEFAULT`
<b> How does the XML DOM present an XML document?</b><br><ul><li>as a set of objects</li><li>as a tree structure</li><li>as an array of nodes</li><li>as a dynamic program</li></ul>,as a tree structure
"<b> You are working with an XML document that uses an XML schema. How do you specify that an element can appear multiple times inside its parent element?</b><br><ul><li>Set the maxOccurs attribute to a large number, such as 1.000</li><li>Set the maxOccurs attribute to 0</li><li>Set the maxOccurs attribute to undefined.</li><li>Set the maxOccurs attribute to unbounded.</li></ul>",Set the maxOccurs attribute to unbounded.
<b> The `<xsl:with-param>` element defines the value of a parameter to be passed into a template. It can be used within which elements?</b><br><ul><li>`<xsl:apply-templates>` and `<xsl:call-template>`</li><li>`<xsl:param>` and `<xsl:processing-instruction>`</li><li>`<xsl:template>` and `<xsl:transform>`</li><li>`<xsl:include>` and `<xsl:variable>`</li></ul>,`<xsl:apply-templates>` and `<xsl:call-template>`
"<b> You are checking someone else's XML document for errors. You notice that the prolog does not have a closing tag. What do you do?</b><br><ul><li>Remove the prolog to make sure that the XML document will be properly processed across all platforms.</li><li>Leave it alone, because the prolog does not require a closing tag.</li><li>Move the prolog to an external file so that the XML document only has elements with closing tags.</li><li>Add a closing tag, as al XML elements must have a closing tag.</li></ul>","Leave it alone, because the prolog does not require a closing tag."
<b> Which statement is not true about XML?</b><br><ul><li>XML is flexible and customizable.</li><li>XML can be used to store data.</li><li>XML is independent of Operating System.</li><li>XML is a replacement for HTML.</li></ul>,XML is a replacement for HTML.
"<b> In an XML DTD ATTLIST declaration, which tokenized attribute type is used to specify multiple ID values?</b><br><ul><li>ENTITIES</li><li>IDREFS</li><li>IDS</li><li>IDSETS</li></ul>",IDREFS
"<b> You want to convert a large XML file into CSV format. You did not create the XML file, so you are not familiar with all of the syntax. What will help you get the best insight into the file contents?</b><br><ul><li>XSLT</li><li>DOM</li><li>AJAX</li><li>XSD`This question is about understanding the XML аfile contents. XSD is the correct one here - that's the schema document, which describes the XML.`<br></li></ul>","XSD`This question is about understanding the XML аfile contents. XSD is the correct one here - that's the schema document, which describes the XML.`<br>"
"<b> In an XML DTD, attributes are declared with an ATTLIST declaration. You need to validate the color attribute for element `<car>` against a fixed list of values. Which is the correct declaration?</b><br><ul><li>`<!ATTLIST car color (red|white|blue|black) black>`</li><li>`<!ATTLIST car color (red|white|blue|black) #REQUIRED>`</li><li>`<!ATTLIST car color (red|white|blue|black) #FIXED>`</li><li>`<!ATTLIST car color (red|white|blue|black)>`</li></ul>",`<!ATTLIST car color (red|white|blue|black) #FIXED>`
"<b> The main ways to control the display of XML documents are with Cascading Style Sheets (CSS) and Extensible Styles Language (XSL). What is an advantage of CSS over XSL?</b><br><ul><li>CSS is a complete programming language with more powerful syntax.</li><li>With CSS, the same element can be processed multiple times.</li><li>CSS allows you to reformat data into completely new structures.</li><li>CSS is easier to learn, use, and maintain.</li></ul>","CSS is easier to learn, use, and maintain."
"<b> Which type of DTD declaration is this code an example of? `<!DOCTYPE abc SYSTEM ""file/file.dtd"">`</b><br><ul><li>Linked</li><li>Internal</li><li>External</li><li>Structured</li></ul>",External
"<b> The purpose of an XML schema is to define the building blocks of an XML document. Which option best describes the building blocks of an XML document?</b><br><ul><li>Header files, function declarations, global variables with their data types, and system library folder location.</li><li>Namespace declaration, processor type, markup references, and encoding specification.</li><li>The document's elements and attributes, their data types and default values, and the number and order of child elements.</li><li>XML entity definitions, XSLT and cascading style sheets, DOM specification, and CDATA assignments.</li></ul>","The document's elements and attributes, their data types and default values, and the number and order of child elements.<br><br>[reference link:](https://www.w3schools.com/xml/xml_dtd_building.asp)<br>"
<b> An XHTML document type definition (DTD) describes the allowed syntax and grammar of XHTML markup. Which is not one of the formal DTDs used in XHTML </b><br><ul><li>Frameset</li><li>Transitional</li><li>Basic</li><li>Strict</li></ul>,Basic<br><br>**Explanation**: [XHTML - Doctypes](https://www.tutorialspoint.com/xhtml/xhtml_doctypes.htm)<br>
"<b> You are working with the following XML code snippet. You have this line in your XSLT code `xsl:value-of-select=""//car/make""/>`. What does it display?</b><br><br>```xml<br><cars><br><car><br><make>Cadillac<br><model>Escalade</model><br><price year=""2007"">$20,000</price><br></make><br></car><br></cars><br>```<br><br><ul><li>Cadillac</li><li>Cadillac Escalade</li><li>Cadillac Escalade 20000</li><li>Cadillac Escalade $20,000</li></ul>","Cadillac Escalade $20,000"
"<b> You need to display the list of cars in the code snippet below in a column format, with a counter column for each row. Which XPath function do you use for the counter?</b><br><br>```xml<br><cars><br><car><make>Cadillac</make> <model>Escalade</model> <year>2007</year></car><br><car><make>Ford</make> <model>Mustang</model> <year>1968</year></car><br><car><make>Mercedes</make> <model>C-Class</model> <year>1999</year></car><br></cars><br>```<br><br><ul><li>`format-number()`</li><li>`id()`</li><li>`count()`</li><li>`position()`</li></ul>","`position()`<br><br>**Explanation**: [count()](https://developer.mozilla.org/en-US/docs/Web/XPath/Functions/count) returns the total the number of nodes (3), while [position()](https://developer.mozilla.org/en-US/docs/Web/XPath/Functions/position) returns the 0-based index of each node.<br>"
"<b> You are working with this XML code snippet from the XML document cars.xml. You need to return the information about the cars built after the year </b><br><br>```xml<br><cars><br><car><make>Cadillac</make> <model>Escalade</model ><year>2007</year></car><br><car><make>Cadillac</make> <model>Escalade</model> <year>2011</year></car><br><car><make>Ford</make> <model>Mustang</model> <year>1968</year></car><br><car><make>Ford</make> <model>Mustang</model> <year>1998</year></car><br><car><make>Mercedes</make> <model>C-Class</model> <year>1999</year></car><br><car><make>Mercedes</make> <model>C-Class</model> <year>2009</year></car><br></cars><br>```<br><br><ul><li>A```xquery<br><ul><br>{<br>for $x in doc(""cars.xml"")/cars/car<br>where $x/year>2000<br>order by $x/year descending<br>return <li>{$x}</li><br>}<br></ul><br>```<br></li><li>B```xquery<br><ol><br>{<br>for $x in doc(""cars.xml"")/cars/car<br>where $x/year>2000<br>order by $x/year desc<br>return <li>{data($x)}</li><br>}<br></ol><br>```<br></li><li>C```xquery<br><ul><br>{<br>for $x in doc(""cars.xml"")/cars/car<br>where $x/year>2000<br>order by $x/year<br>return <li>{$x}</li><br>}<br></ul><br>```<br></li><li>D```xquery<br><ol><br>{<br>for $x in doc(""cars.xml"")/cars/car<br>where $x/year>2000<br>order by $x/year descending<br>return <li>{data($x)}</li><br>}<br></ol><br>```<br></li></ul>","D```xquery<br><ol><br>{<br>for $x in doc(""cars.xml"")/cars/car<br>where $x/year>2000<br>order by $x/year descending<br>return <li>{data($x)}</li><br>}<br></ol><br>```<br><br><br>[reference link:](https://stackoverflow.com/questions/6001357/xquery-order-by-ascending-and-descending)<br>"
<b> The `readyState` property holds the status of the XMLHttpRequest. Which is NOT a valid status?</b><br><ul><li>`4 (DONE)`</li><li>`3 (LOADING)`</li><li>`1 (PROCESSING)`</li><li>`0 (UNSENT)`</li></ul>,`1 (PROCESSING)`<br><br>[reference link:](https://developer.mozilla.org/en-US/docs/Web/API/XMLHttpRequest/readyState)<br>
<b> You are working with an XML document that uses an XML schema. How can you extend the document with elements NOT specified by the schema?</b><br><ul><li>Use the `<any>` element.</li><li>Use the `<redefine>` element.</li><li>Use `<xs:extension>`.</li><li>Specify the new elements in the schema.</li></ul>,Use the `<any>` element.<br><br>[reference link:](https://www.w3schools.com/xml/schema_complex_any.asp)<br>
"<b> You are working with the following XML code snippet. Which XPath expression produces C-Class?</b><br><br>```xml<br><cars><br><car><make>Cadillac</make><model>Escalade</model><br><price year=""2007"">20000</price></car><br><car><make>Ford</make><model>Mustang</model><br><price year=""2008"">17000</price></car><br><car><make>Mercedes</make><model>C-Class</model><br><price year=""2009"">24000</price></car><br></cars><br>```<br><br><ul><li>`/car[price>20000]/make/model`</li><li>`/car[price>=20000 and @year>=2009]/make/model`</li><li>`//car[price>=20000 and @year>2008]/model`</li><li>`/cars/car[price>=20000 and year>2008]/model`NOTE: [XPather](http://xpather.com/) shows that all answers are incorrect. Report the question.<br></li></ul>",<ul></ul>
<b> You are working with an XML document that uses an XML schema. How do you ensure that an attribute must be specified for its corresponding element?</b><br><ul><li>Set the type attribute to `xs:required`.</li><li>Set the `use` attribute to `required`.</li><li>Set the minLength attribute to 1.</li><li>Set the minOccurs attribute to 1.</li></ul>,Set the `use` attribute to `required`.<br><br>**Reference**: [XSD Attributres](https://www.w3schools.com/xml/schema_simple_attributes.asp)<br>
"<b> You are working with the following XML code snippet. What do you need to include in your XSLT code to display `Mercedes, Cadillac, Ford`?</b><br><br>```xml<br><cars><br><car><make>Cadillac</make><model>Escalade</model><br><price year=""2007"">20000</price></car><br><car><make>Ford</make><model>Mustang</model><br><price year=""2008"">17000</price></car><br><car><make>Mercedes</make><model>C-Class</model><br><price year=""2009"">24000</price></car><br></cars><br>```<br><br><ul><li>`<xsl:sort select=""make"" />`</li><li>`<xsl:sort select=""model"" />`</li><li>`<xsl:sort select=""car"" />`</li><li>`<xsl:sort select=""price"" />`</li></ul>","`<xsl:sort select=""model"" />`<br><br>**Explanation**: A trick question. The [`<xsl:sort>`](https://www.w3schools.com/xml/ref_xsl_el_sort.asp) will sort the output in ascending (alphabetical for strings) order by default. The `select` tells which tag to use for sorting.<br>- If we use `select=""make""` or `select=""year""` we get the order `Cadillac, Ford, Mercedes`<br>- If we use `select=""price""` we get `Ford, Cadillac, Mercedes`<br>- And finally with `select=""model""` we get `Mercedes, Cadillac, Ford`<br>"
<b> What is the correct syntax for comments in XQuery?</b><br><ul><li>`/* */`</li><li>`<!-- -->`</li><li>`//`</li><li>`(: :)`</li></ul>,`(: :)`
<b> Which DOM node type may NOT have the EntityReference node type as one of its child nodes?</b><br><ul><li>Element</li><li>Document</li><li>EntityReference</li><li>DocumentFragment</li></ul>,Document<br><br>[reference link:](https://www.w3schools.com/XML/dom_nodetype.asp)<br>
"<b> XHTML modules can be extended by adding elements, attributes, modifying content models, or some combination of these. What does a proper implementation of an XHTML module require?</b><br><ul><li>The implementation of an XHTML module requires an extension module and a validation module that ensures that the XHTML is well formed and valid; otherwise the extended instances aren't formally XHTML.</li><li>The implementation of an XHTML module requires a definitions module and a constraint module that specifies syntax rules and uses the parameter entities declared in the definitions module.</li><li>The implementation of an XHTML module requires a qualified name module and a declaration module that holds the element, element attribute, and content model declarations.</li><li>The implementation of an XHTML module requires a namespace module that holds the element, element attribute, and content model declarations, and a parameter module that uses the entities declared in the namespace module.</li></ul>","The implementation of an XHTML module requires a namespace module that holds the element, element attribute, and content model declarations, and a parameter module that uses the entities declared in the namespace module."
<b> The `<xsl:namespace-alias>` element is used to replace a namespace in the style sheet with a different namespace in the output. Which XSLT element needs to be its parent node?</b><br><ul><li>`<xsl:namespace>`</li><li>any valid element</li><li>root element</li><li>top-level element in the corresponding namespace</li></ul>,root element<br><br>[reference link:](https://www.w3schools.com/xml/ref_xsl_el_namespace-alias.asp)<br>
"<b> XML is a markup language, not a programming language. What makes XML not qualify to be a programming language?</b><br><ul><li>XML is too flexible and does not have enough reserved keywords.</li><li>XML contains only data and not any processing instructions.</li><li>XML does not perform any computation or algorithms.</li><li>XML does not have specialized syntax rules.</li></ul>",XML contains only data and not any processing instructions.
<b> What is true about these elements in XQuery?</b><br><br>```xml<br><cars><br><car><make>Cadillac</make><model>Escalade</model><year>2007</year></car><br><car><make>Cadillac</make><model>Escalade</model><year>2011</year></car><br><car><make>Ford</make><model>Mustang</model><year>1968</year></car><br><car><make>Ford</make><model>Mustang</model><year>1998</year></car><br><car><make>Mercedes</make><model>C-Class</model><year>1999</year></car><br><car><make>Mercedes</make><model>C-Class</model><year>2009</year></car><br></cars><br>```<br><br><ul><li>Elements `<make>` and `<model>` are ancestors of `<year>`.</li><li>Elements `<make>` and `<model>` are children of `<cars>`.</li><li>Elements `<make>` and `<model>` are siblings.</li><li>Elements `<car>` and `<cars>` are parents of `<make>` and `<model>`.</li></ul>,Elements `<make>` and `<model>` are siblings.
"<b> Which is a valid CSS section for this XML code snippet?</b><br><br>```xml<br><cars><br><car><make>Cadillac</make><model>Escalade</model><year>2007</year></car><br><car><make>Ford</make><model>Mustang</model><year>1968</year></car><br><car><make>Mercedes</make><model>C-Class</model><year>1999</year></car><br></cars><br>```<br>- [ ]<br>```css<br>cars {<br>display: block;<br>}<br>car(make),<br>car(model),<br>car(year) {<br>display: inline;<br>padding-top: 0.5em;<br>}<br>```<br>- [x]<br>```css<br>car,<br>cars {<br>display: block;<br>}<br>make,<br>model,<br>year {<br>display: inline;<br>padding-top: 0.5em;<br>}<br>```<br>- [ ]<br>```css<br>cars {<br>display: block;<br>}<br>car.make,<br>car.model,<br>car.year {<br>display: inline;<br>padding-top: 0.5em;<br>}<br>```<br>- [ ]<br>```css<br>cars {<br>display: block;<br>}<br>car#make,<br>car#model,<br>car#year {<br>display: inline;<br>padding-top: 0.5em;<br>}<br>```<br><br><ul></ul>",<ul></ul>
"<b> An XML document contains this code as part of the DTD: <!ELEMENT car (make, model?, year+, price*)>. What are the rules that need to be followed for each of the elements?</b><br><ul><li><make> is required, <model> is optional, <year> is optional, and <price> is optional.</li><li><make> is required, <model> is required, <year> is optional, and <price> is optional.</li><li><make> is required, <model> is required, <year> is required, and <price> is optional.</li><li><make> is required, <model> is optional, <year> is required, and <price> is optional.</li></ul>","<make> is required, <model> is optional, <year> is required, and <price> is optional."
<b> Which element in this XML code is not a good candidate for conversion into an attribute?</b><br><br>```xml<br>1 <superheroes><br>2 <name>Superman</name><br>3 <alias>Clark Kent</alias><br>4 <birthplace>Krypton</birthplace><br>5 <power>Flight</power><br>6 <power>X-Ray Vision</power><br>7 <power>Super Strength</power><br>8 </superheroes><br>```<br><br><ul><li>`<birthplace>`</li><li>`<alias>`</li><li>`<name>`</li><li>`<роwer>`</li></ul>,`<роwer>`<br><br>[Reference best practices for xml attributes](https://www.geeksforgeeks.org/xml-attributes/)<br>
