<b> What is an example of dynamic binding?</b><br><ul><li>any method</li><li>method overloading</li><li>method overriding</li><li>compiling</li></ul>,method overriding
"<b> Why is inheritance used when creating a new class?</b><br><ul><li>to protect attributes from unwanted changes</li><li>to delegate coding responsibility more efficiently</li><li>to conserve memory</li><li>to avoid writing duplicate code</li><li>to separate class behavior from the more general_NOTE_: I don't have 4th variant in my test, it changed to new 5th variant. Is it also true?<br></li></ul>","<ul><li>to avoid writing duplicate code</li><li>to separate class behavior from the more general_NOTE_: I don't have 4th variant in my test, it changed to new 5th variant. Is it also true?<br></li></ul>"
"<b> In addition to attributes and behaviours, what quality must a class possess?</b><br><ul><li>a name</li><li>a state</li><li>a color</li><li>an object</li></ul>",a name
<b> Which type of function among the following shows polymorphism?</b><br><ul><li>inline function</li><li>undefined function</li><li>virtual function</li><li>class member function</li></ul>,virtual function
"<b> Which words in the following list are candidates for objects: trumpet, clean, enrage, leaf, tree, collapse, active, and lively?</b><br><ul><li>leaf and tree</li><li>clean, enrage, and collapse</li><li>clean, active, and lively</li><li>leaf, tree, and trumpet</li></ul>","leaf, tree, and trumpet"
<b> What best describes what object-oriented programming does?</b><br><ul><li>It focuses on objects that interact cleanly with one another.</li><li>It programs exclusively to interfaces.</li><li>It programs exclusively to classes.</li><li>It creates one class for all business logic.</li></ul>,It focuses on objects that interact cleanly with one another.
"<b> Can abstract classes be used in multilevel inheritance?</b><br><ul><li>No, abstract classes can be used only in single-level inheritance since they must be immediately implemented.</li><li>yes, always</li><li>yes, but with only one abstract class</li><li>No, abstract classes do not have constructors.</li></ul>","yes, always"
<b> What type of inheritance may lead to the diamond problem?</b><br><ul><li>single level</li><li>multilevel</li><li>hierarchical</li><li>multiple</li></ul>,multiple
"<b> What is the relationship between abstraction and encapsulation?</b><br><ul><li>Abstraction is about making relevant information visible, while encapsulation enables a programmer to implement the desired level of abstraction.</li><li>Abstraction and encapsulation are essentially the same.</li><li>Abstraction and encapsulation are unrelated.</li><li>Encapsulation is about making relevant information visible, while abstraction enables a programmer to implement the desired level of encapsulation.</li></ul>","Abstraction is about making relevant information visible, while encapsulation enables a programmer to implement the desired level of abstraction."
<b> Which of these keywords are access specifiers?</b><br><ul><li>abstract and public</li><li>public and private</li><li>this and final</li><li>final and abstract</li></ul>,public and private
<b> What is a reference to an object?</b><br><ul><li>It is the address of variable only -- not the method of an object.</li><li>It is a shallow pointer that contains address of an object.</li><li>It is the physical address of an object.</li><li>It is the address where the variables and methods of an object are stored.</li></ul>,It is the address where the variables and methods of an object are stored.
"<b> Why is unit testing harder in OOP than functional programming?</b><br><ul><li>Objects may maintain internal state, which is not easily accessible by the tests.</li><li>The quality of unit testing frameworks for functional languages is better.</li><li>OOP promotes code reuse, which means that your tests have to consider more use cases.</li><li>Object-oriented languages tend to rely on frameworks such as Spring or Hibernate, which make them difficult to test.</li></ul>","Objects may maintain internal state, which is not easily accessible by the tests."
<b> What is the function of a user diagram?</b><br><ul><li>It connects actors to use cases.</li><li>It links actors to roles played in all use cases.</li><li>It lists all actors for each use case.</li><li>It minimizes the number of actors required.</li></ul>,It links actors to roles played in all use cases.
<b> How do object behaviour and attributes differ?</b><br><ul><li>Behaviour describe dynamic properties; attributes are static.</li><li>Attributes describe a state; behaviours describe a change.</li><li>Attributes apply only to a specified object; behaviour apply to other linked objects.</li><li>Behaviours are vector quantities; attributes are scalars.</li></ul>,Attributes describe a state; behaviours describe a change.
<b> The open/closed principle states that classes should be open for \_ but closed for \_.</b><br><ul><li>refactoring; duplication</li><li>modification; duplication</li><li>extension; modification</li><li>reuse; encapsulation</li></ul>,extension; modification
<b> Why would you override a method of a base class?</b><br><ul><li>to define a method that must be implemented in a derived class</li><li>to define a custom implementation of an inherited member</li><li>to define a method that must be implemented in a superclass only</li><li>to define a class that can be inherited from</li></ul>,to define a custom implementation of an inherited member
"<b> What is a copy constructor?</b><br><ul><li>It is a unique constructor for creating a new object as a copy of an object that already exists. There will always be only one copy constructor that can be either defined by the user or the system.</li><li>It is a constructor that duplicates itself when requested on demand.</li><li>It is a common constructor for preventing the creation of a new object as a copy of an object that already exists. There will always be multiple standard constructors that can be either defined by the user or the system.</li><li>It is a constructor that duplicates itself on its own, based on memory available.</li></ul>",It is a unique constructor for creating a new object as a copy of an object that already exists. There will always be only one copy constructor that can be either defined by the user or the system.
<b> What defines the catch block most accurately?</b><br><ul><li>The catch block that will be executed is the one that best matches the type of exception thrown.</li><li>Multiple catch blocks can never be associated with a single try block.</li><li>Multiple catch blocks are mandatory for each try block.</li><li>Multiple catch blocks will all be executed in the case of an exception.</li></ul>,The catch block that will be executed is the one that best matches the type of exception thrown.
"<b> There are five classes. Class E is derived from class D, D from C, C from B, and B from A. Which class constructor(s) will be called first if the object of E or D is created?</b><br><ul><li>A</li><li>B</li><li>C</li><li>C and B</li></ul>",A
"<b> You have modules that are dependent on each other. If you change one module, you have to make changes in the dependent modules. What term is used to describe this problem, and what is a potential solution?</b><br><ul><li>Cohesion. A solution is to show that each module has certain responsibilities and to use an anticohesive design pattern.</li><li>Encapsulation. A solution is to implement one of the SOLID principles to ensure the modules do not encapsulate with each other.</li><li>Coupling. A solution is to refactor the code to be loosely coupled by using inversion of control and dependency injection.</li><li>Dependency. A solution is to implement polymorphism and abstraction to change and extract dependent elements of a module so that it functions on its own.</li></ul>",Coupling. A solution is to refactor the code to be loosely coupled by using inversion of control and dependency injection.
<b> **\_** describes an aggregation</b><br><ul><li>A class of resources</li><li>A group of methods</li><li>A collection of objects</li><li>A list of children</li></ul>,A collection of objects
<b> Which type of function can be used for polymorphism?</b><br><ul><li>virtual function</li><li>inline function</li><li>undefined function</li><li>private function</li></ul>,virtual function
<b> Which choice is a benefit of using dependency injection?</b><br><ul><li>loose coupling</li><li>code reusability</li><li>lazy initialization</li><li>data abstraction</li></ul>,loose coupling
"<b> Are you required to return an object if it was passed by reference to a function, and why or why not?</b><br><ul><li>Yes, the caller function needs to reflect the changes.</li><li>No, you should use a global variable instead.</li><li>No, changes will be automatically reflected in the calling function.</li><li>Yes, the object must be the same in the caller function.</li></ul>","No, changes will be automatically reflected in the calling function."
<b> Why is inheritance?</b><br><ul><li>...</li></ul>,<ul></ul>
<b> What is the best example of a superclass and subclass relationship?</b><br><ul><li>car:toyota</li><li>ducks:pond</li><li>toes:feet</li><li>rock:stone</li></ul>,car:toyota
<b> Which statements best describe the Gang of Four design patterns called Memento and Observer?</b><br><ul><li>Memento notifies multiple classes of changes. Observer captures and restores an object's internal state.</li><li>Memento defers the exact steps of an algorithm to a subclass. Observer defines a new operation to a class without change.</li><li>Memento alters an object's behavior when its state changes. Observer encapsulates an algorithm inside a class.</li><li>Memento captures and restores an object's internal state. Observer notifies multiple classes of changes.</li></ul>,Memento captures and restores an object's internal state. Observer notifies multiple classes of changes.
<b> What does the value (</b><br><ul><li>a default value of the Coordinate attribute</li><li>the size of the position array</li><li>an increment of the position attribute value</li><li>a default value of the position attribute</li></ul>,a default value of the position attribute
<b> What is the most accurate example of the Liskov substitution principle?</b><br><ul><li>A```<br>public class Car{<br>}<br>public class FlyingCars extends Car{<br>public void fly(){}<br>}<br>public class Tesla FlyingCar{}<br>public class Honda Car{}<br>```<br></li><li>B```<br>public class Car{<br>public void fly(){}<br>}<br>public class Tesla extends Car{}<br>public class Honda extends Car{}<br>```<br></li><li>C```<br>public class Car{<br>public void fly(){}<br>}<br>public class Tesla Car{}<br>public class Honda Car{}<br>```<br></li><li>D```<br>public class Car{<br>}<br>public class FlyingCars extends Car{<br>public void fly(){}<br>}<br>public class Tesla extends FlyingCar{}<br>public class Honda extends Car{}<br>```<br></li></ul>,D```<br>public class Car{<br>}<br>public class FlyingCars extends Car{<br>public void fly(){}<br>}<br>public class Tesla extends FlyingCar{}<br>public class Honda extends Car{}<br>```<br><br><br>[reference link](https://stackoverflow.com/a/44913313/1573267)<br>
<b> What is the difference between a parameter and an argument?</b><br><ul><li>An argument can have many values while a parameter can have only one value.</li><li>An argument is the variable used for input values in a method. A parameter is the specific input value passed to the method.</li><li>A parameter is a variable in the declaration of a function. An argument is the value of this variable that gets passed to the function.</li><li>Parameters and arguments are the same</li></ul>,A parameter is a variable in the declaration of a function. An argument is the value of this variable that gets passed to the function.
"<b> What is the scope of a class nested inside another class?</b><br><ul><li>Protected scope</li><li>Private scope</li><li>Global scope</li><li>Depends on access specifier and inheritance used> Explanation: It depends on the access specifier and the type of inheritance used with the class, because if the class is inherited then the nested class can be used by subclass too, provided it’s not of private type.<br></li></ul>","Depends on access specifier and inheritance used> Explanation: It depends on the access specifier and the type of inheritance used with the class, because if the class is inherited then the nested class can be used by subclass too, provided it’s not of private type.<br>"
<b> Methods and attributes that define an object are a kind of blueprint called what?</b><br><ul><li>a collection</li><li>a variable</li><li>a class</li><li>a procedure</li></ul>,a class
"<b> Assume single inheritance is used with classes A and B while A is the base class. Then assume classes C, D, and E, where C is a base class and D is derived from C, then E is derived from D. Class C is made to inherit from class B. Which type of inheritance is reflected?</b><br><ul><li>Multilevel</li><li>Hybrid</li><li>Single level</li><li>Multiple</li></ul>",Multilevel
<b> What is the main idea behind separation of concerns?</b><br><ul><li>All of these answers</li><li>Applications are decomposed into parts</li><li>Parts are defined with minimal overlap</li><li>Each part is responsible for a separate concern</li></ul>,All of these answers
<b> What is the purpose of the finally block?</b><br><ul><li>To always run the finally block of code when the try block exits</li><li>To run code when an exception has not occurred</li><li>To run the block if an exception occurred</li><li>To run code whenever garbage collection requires it</li></ul>,To always run the finally block of code when the try block exits
<b> Which choice is not an OOP language?</b><br><ul><li>C#</li><li>Java</li><li>C</li><li>Python</li></ul>,C
"<b> What is the function of a finalizer or destructor?</b><br><ul><li>To relinquish resources that are no longer needed</li><li>To delete a variable name</li><li>To reset an attribute value</li><li>To hold space, even after an object is no longer being used</li></ul>",To relinquish resources that are no longer needed
<b> An instance of which type of class cannot be created?</b><br><ul><li>Protected class</li><li>Base class</li><li>Anonymous class</li><li>Abstract class</li></ul>,Abstract class
"<b> In the context of OOP, what is composition?</b><br><ul><li>Composition is the act of one object passing to another object an operation to be performed on behalf of the initial object.</li><li>Composition is a part/hole relationship where an object is composed of one or more other objects, each of which is considered a part of the whole.</li><li>Composition is a binding where the class/name association is not made until the object designated by the name is created at execution time</li><li>Composition is a process of collecting classes that provide a set of services for a particular domain</li></ul>","Composition is a part/hole relationship where an object is composed of one or more other objects, each of which is considered a part of the whole."
<b> Static polymorphism uses method \_ ?</b><br><ul><li>overloading</li><li>inheritance</li><li>abstraction</li><li>overriding</li></ul>,overloading
<b> What does a concrete class not have?</b><br><ul><li>parents</li><li>pure virtual functions</li><li>attributes</li><li>purposes</li></ul>,pure virtual functions
<b> How does dynamic typing complicate troubleshooting?</b><br><ul><li>It can be difficult to identify variables that are incorrectly typed</li><li>The dynamic variables can assume only limited values</li><li>Storage is fixed for dynamic variables</li><li>Static variables are more flexible than dynamic variables</li></ul>,It can be difficult to identify variables that are incorrectly typed
"<b> What is the difference between early binding and late binding?</b><br><ul><li>Early binding is when a variable is assigned a value when a scope is created. Late binding is when a variable is assigned a value after a scope is exited</li><li>Early binding is when a variable is assigned a value when the program starts. Late binding is when a variable is assigned after the program is running</li><li>There is no difference. In both cases, variables are assigned values when a program has completed startup and is running</li><li>Early binding is when a variable is assigned its value at compile time. Late binding is when a variable is assigned a value at run time</li></ul>",Early binding is when a variable is assigned its value at compile time. Late binding is when a variable is assigned a value at run time
<b> What is the difference between an interface and an abstract class?</b><br><ul><li>Interfaces can contain code or data. Abstract classes do not contain code or data. A class can inherit from more than one abstract class but can only implement one interface</li><li>Interfaces can contain code or data. Abstract classes do not contain code or data. A class can inherit from only one abstract class but can implement an unlimited number of interface</li><li>Abstract classes can contain code or data. Interface do not contain code or data. A class can inherit from only one abstract class but can implement an unlimited number of interfaces</li><li>Abstract classes can contain code or data. Interface do not contain code or data. A class can inherit from more than one abstract class but can only implement one interface</li></ul>,Abstract classes can contain code or data. Interface do not contain code or data. A class can inherit from only one abstract class but can implement an unlimited number of interfaces
"<b> What parameters are required to be passed to a class constructor?</b><br><br>`Here they haven't mentioned any specific language so let's consider all languages.`<br><br><ul><li>reference to subclass // References to subclass are never required as you can simply Initialize subclass & use their object.</li><li>reference to base class // References to the base class are not required in Java, Javascript & Python</li><li>reference to this pointer // While Python & Javascript may require passing this or self in the constructor, It is not passed in Java constructor.</li><li>none // Above 3 are incorrect so ""none"" is the answer</li></ul>","none // Above 3 are incorrect so ""none"" is the answer"
