"<b> In the following URL, what channel grouping is traffic assigned to?</b><br><br>`example.com/?utm_source=google&utm_medium=cpc&utm_campaign=315`<br><br><ul><li>Display</li><li>Google</li><li>Organic Search</li><li>Paid Search</li></ul>",Paid Search
"<b> To email a notification whenever a goal is completed, what do you configure?</b><br><ul><li>scheduled emails</li><li>custom alerts</li><li>shared reports</li><li>shared assets</li></ul>",custom alerts
<b> What must be configured in order for Google Analytics to capture data?</b><br><ul><li>UTM parameters</li><li>Google Tag Manager</li><li>User</li><li>Analytics tracking code</li></ul>,Analytics tracking code
<b> What allows you to specify the steps your traffic is expected to take to reach your goal?</b><br><ul><li>destination</li><li>funnel</li><li>visualization</li><li>value</li></ul>,funnel
"<b> If you wanted to evaluate how your site performs relative to other sites in your industry vertical, what reports do you use?</b><br><ul><li>Benchmarking</li><li>Cohort Analysis</li><li>Network Referrals</li><li>Publisher Referrers</li></ul>",Benchmarking
<b> What is the hierarchy of a Google Analytics account?</b><br><ul><li>Account > Property > Organization > Views</li><li>Organization > Account > Property > Views</li><li>Organization > Property > Account > Views</li><li>Account > Organization > Property > Views</li></ul>,Organization > Account > Property > Views<br><br>[Reference](https://support.google.com/analytics/answer/1009618?hl=en)<br>
"<b> What feature do you configure if you want to track transactions, order values, shopping cart behavior, and product performance?</b><br><ul><li>campaigns</li><li>revenue</li><li>ecommerce</li><li>ROAS (Return On Ad Spend)</li></ul>",ecommerce
<b> What is an example of data you cannot track in Google Analytics?</b><br><ul><li>page speed score</li><li>return on advertising spend</li><li>precise user latitude/longitude data</li><li>time on site</li></ul>,precise user latitude/longitude data
"<b> If you create a new user at the property level, what does the user inherit access to?</b><br><ul><li>all the views of that property</li><li>all the accounts in the organization</li><li>Nothing—each permission must be set manually.</li><li>all the properties in the account</li></ul>",all the views of that property
"<b> Of the following segments, which represents the highest value audience?</b><br><ul><li>users who converted</li><li>sessions with a >80% bounce rate</li><li>all multisession users</li><li>sessions with 0 goal completions</li></ul>",sessions with 0 goal completions
"<b> If you wanted to determine if a particular browser was resulting in a high bounce rate, what report could you look at?</b><br><ul><li>Technology > Browser & OS</li><li>Site Speed > Page Timings</li><li>Mobile > Devices</li><li>Behavior > Engagement</li></ul>",Technology > Browser & OS
<b> You offer a downloadable music file called Sample Tone on your website. What is the best way to configure the components to track this event?</b><br><ul><li>Hit: Download // Event: Sample Tone // Content: Music</li><li>Category: Music // Action: Download // Label: Sample Tone</li><li>Category: Download // Event: Music // Label: Sample Tone</li><li>Hit: Music // Event: Download //Content: Sample Tone</li></ul>,Hit: Music // Event: Download //Content: Sample Tone
"<b> You want to classify people who join your newsletter with a custom dimension for ""Newsletter Subscribers."" What is the appropriate scope to apply to this custom dimension?</b><br><ul><li>User</li><li>Hit</li><li>Product</li><li>Session</li></ul>",User
"<b> You are viewing a report with Source/Medium as the primary dimension, but also want to include landing page data. What do you do?</b><br><ul><li>Use a filter.</li><li>Create a new view.</li><li>This is not possible.</li><li>Use a secondary dimension.</li></ul>",Use a secondary dimension.
"<b> If you are collecting campaign data, which report shows the results?</b><br><ul><li>Acquisition > Campaigns > All Campaigns</li><li>Audience > Custom > Custom Variables</li><li>Conversions > Goals > Overview</li><li>Behavior > Events > Overview</li></ul>",Acquisition > Campaigns > All Campaigns
<b> What does this represent inside of Google Analytics?</b><br><ul><li>segment</li><li>report tab</li><li>data header</li><li>view</li></ul>,segment
"<b> When configuring the global site tag, where in the HTML should it be placed?</b><br><ul><li>directly before the `</head>` tag</li><li>directly after the `<head>` tag</li><li>directly after the `<body>` tag</li><li>directly before the `</body>` tag</li></ul>",directly after the `<head>` tag
<b> Refer to the two following URLs. How can you make this data more readable in Google Analytics by mapping the actual product names to the ID in the URL? `.../shop/?ProductID=</b><br><ul><li>Configure calculated metrics.</li><li>Use a custom import.</li><li>This functionality is not possible.</li><li>Create a search and replace filter.</li></ul>,This functionality is not possible.
<b> What is this report an example of?</b><br><br>![Tree map](https://i.imgur.com/CJFjxxD.png)<br><br><ul><li>cohort analysis</li><li>funnel visualization</li><li>user flow</li><li>treemap</li></ul>,treemap
"<b> You already have Google Analytics set up on your website, but decide to add Google Tag Manager. What do you do with the existing Analytics tag?</b><br><ul><li>Remove the tag.</li><li>Move the tag to just before `</head>`.</li><li>Keep the tag.</li><li>Move the tag to just before `</body>`.</li></ul>",Remove the tag.
"<b> How do you review the revenue and conversion rate between your traffic sources?</b><br><ul><li>Create two segments, one for revenue and one for conversion rate, and then review Acquisition > All Traffic.</li><li>View Ecommerce > Overview and toggle Traffic Sources in the Explorer tab.</li><li>Create two segments, one for revenue and one for conversion rate, and then review Conversions > Ecommerce.</li><li>Go to All Traffic > Source Medium and set eCommerce in the Conversions menu.</li></ul>","Create two segments, one for revenue and one for conversion rate, and then review Conversions > Ecommerce."
<b> Which calculated metric would return average events per user?</b><br><ul><li>`{{Total Events}} / {{Users}} Type: Float`</li><li>`{{Goals}} / {{Users}} Type: Percentage`</li><li>`{{Goals}} / {{Users}} Type: Float`</li><li>`{{Total Events}} / {{Users}} Type: Percentage`</li></ul>,`{{Total Events}} / {{Users}} Type: Float`
<b> What report helps you understand how many days it takes from the time a user first visits to the time the user converts?</b><br><ul><li>Assisted Conversions</li><li>Time Lag</li><li>Path Length</li><li>Shopping Behavior</li></ul>,Time Lag
<b> What is a best practice after launching a major change to your home page?</b><br><ul><li>Create a new filter.</li><li>Create an annotation.</li><li>Create a new view.</li><li>Create a new property.</li></ul>,Create an annotation.
"<b> You want to enable a destination goal for a URL that appends query string parameters with each submission—for example, `/thanks?uid=</b><br><ul><li>equals to /thanks</li><li>begins with /thanks</li><li>equals to /thanks?uid=</li><li>regular expression /thanks[a z]</li></ul>",equals to /thanks?uid=
<b> You notice a sudden and unexplained change in traffic. Where do you look to see if someone added a filter?</b><br><ul><li>Admin > Views > View Settings</li><li>Admin > Account > Change History</li><li>Admin > Views > Annotations</li><li>Admin > Account > User Management</li></ul>,Admin > Account > Change History
<b> Your website has a logged in experience for users. What do you implement to track individual engagement across multiple sessions and multiple devices?</b><br><ul><li>Client</li><li>User-ID</li><li>cross</li><li>session unification</li></ul>,User-ID
<b> What are these examples of?</b><br><ul><li>annotations</li><li>affinity categories</li><li>custom audiences</li><li>channels</li></ul>,affinity categories
<b> Where can you check the status of your tracking code?</b><br><ul><li>Admin > Tracking Info > Tracking Code</li><li>Customization > Settings > Tracking Code</li><li>Customization > Property > Tracking</li><li>Admin > Property Settings</li></ul>,Admin > Property Settings
<b> What feature do you use to capture how many times a button was pressed?</b><br><ul><li>action tracking</li><li>click handler</li><li>event tracking</li><li>goals</li></ul>,event tracking
<b> Which step in this funnel had the largest percentage of exits?</b><br><ul><li>Billing and Shipping</li><li>Cart</li><li>There are no exits.</li><li>Payment</li></ul>,Cart
<b> What can you use as the basis for remarketing within Google Ads?</b><br><ul><li>dynamics</li><li>personas</li><li>audiences</li><li>tags</li></ul>,audiences
"<b> If you want to exclude traffic to your website from people on your company network, what do you create?</b><br><ul><li>a filter to exclude traffic to the hostname</li><li>a segment to exclude traffic to the hostname</li><li>a segment to exclude traffic from IP addresses</li><li>a filter to exclude traffic from IP addresses</li></ul>",a filter to exclude traffic from IP addresses
<b> You are running Google Ads and want to automatically track ad performance within Google Analytics. What feature do you enable?</b><br><ul><li>auto tagging</li><li>ad serving</li><li>advertising features</li><li>API link</li></ul>,auto tagging
<b> What is an example of a property in Google Analytics?</b><br><ul><li>account</li><li>website</li><li>graph</li><li>custom report</li></ul>,website
"<b> By default, if a URL is accessed in the browser once as /contact/ and once again as /CONTACT/, how does the data appear in Google Analytics?</b><br><ul><li>two pageviews for /contact/</li><li>one pageview for /contact/ and one pageview for /CONTACT/</li><li>An error will be present, as a filter must be created to support this use case.</li><li>two pageviews for /CONTACT/</li></ul>",one pageview for /contact/ and one pageview for /CONTACT/
"<b> What is the hierarchy between sessions, users, and hits?</b><br><ul><li>User > Session > Hit</li><li>Session > Hit > User</li><li>Session > User > Hit</li><li>User > Hit > Session</li></ul>",User > Session > Hit
<b> Which feature would allow you to navigate between multiple reports while comparing the data collected for visitors in Los Angeles to the data for visitors in London?</b><br><ul><li>segments</li><li>filters</li><li>views</li><li>dimensions</li></ul>,segments
<b> Where could you analyze the conversion paths users followed across various marketing channels?</b><br><ul><li>Conversions > Goals > Reverse Goal Path</li><li>Conversions > Goals > Funnel Visualization</li><li>Behavior > Behavior Flow</li><li>Conversions > Multi- [ ] Channel Funnels</li></ul>,Conversions > Multi- [ ] Channel Funnels
<b> What does Google Analytics add to the first party cookie to differentiate new from returning visitors?</b><br><ul><li>an HTTP request</li><li>a randomly generated client ID</li><li>a 1x1 tracking pixel</li><li>a SessionStorage object</li></ul>,a randomly generated client ID
"<b> It is September, and you want to evaluate the most popular page on your site for the month of August. What first steps would you take?</b><br><ul><li>1. Set Date Range to Last 30 Days. 2. Visit Behavior > Site Content > All Pages.</li><li>1. Set Date Range to Last 30 Days. 2. Visit Behavior > Site Content > Content Drilldown.</li><li>1. Set Date Range to Last Month. 2. Visit Behavior > Site Content > Content Drilldown.</li><li>1. Set Date Range to Last Month. 2. Visit Behavior > Site Content > All Pages.</li></ul>",<ul><li>1. Set Date Range to Last 30 Days. 2. Visit Behavior > Site Content > All Pages.</li><li>1. Set Date Range to Last Month. 2. Visit Behavior > Site Content > All Pages.</li></ul>
<b> This report is sorted by bounce rate in ascending order. How do you view these results in order of importance instead?</b><br><ul><li>Sort Type: Absolute Change</li><li>Toggle Comparison View</li><li>Sort Type: Weighted Sort</li><li>Use Table Filter</li></ul>,Sort Type: Weighted Sort
<b> What channel receives attribution if no traffic source data is available?</b><br><ul><li>(Other)</li><li>Direct</li><li>Referral</li><li>Organic Search</li></ul>,Direct
<b> Which is an example of a micro goal?</b><br><ul><li>signing up for an account after clicking an ad</li><li>playing a video before signing up</li><li>buying a product after reading an email</li><li>filling out a contact form after reading a social post</li></ul>,signing up for an account after clicking an ad
<b> What parameter should you use if you were tracking different versions of an ad?</b><br><ul><li>utm_campaign</li><li>utm_medium</li><li>utm_term</li><li>utm_content</li></ul>,utm_campaign
<b> The tracking ID contains a string that follows this format: `UA XXXXXX Y`. What does the Y refer to?</b><br><ul><li>the property number</li><li>the account number</li><li>the view number</li><li>It is random.</li></ul>,the property number
"<b> If a user fills in a contact form and provides an email address, which report would contain that information?</b><br><ul><li>Behavior > Events > Overview</li><li>Acquisition > Social > Form Submissions</li><li>Acquisition > Social > Users Flow</li><li>No report contains this information.</li></ul>",Acquisition > Social > Form Submissions
"<b> If you want to quickly see what days and times were most popular for visiting your site, what do you do?</b><br><ul><li>Go to Home > Users by time of day (Widget)</li><li>Go to the report at Audience > Cohort Analysis and toggle By Day.</li><li>Go to Behavior > Engagement and toggle Hourly.</li><li>Create a pivot table by Hour on Site Content > All Pages.</li></ul>",Go to the report at Audience > Cohort Analysis and toggle By Day.
"<b> If your site does not attribute transactions to the original source, but instead shows all transactions attributed to your payment processor (for example Stripe, PayPal, or Square), how do you remedy this issue?</b><br><ul><li>Switch to Enhanced Ecommerce.</li><li>Use a search and replace filter.</li><li>Create a referral exclusion.</li><li>Add gtag.js to PayPal tags.</li></ul>",Create a referral exclusion.
<b> What do you use to compare three dimensions?</b><br><ul><li>performance table</li><li>custom reports</li><li>Explorer panel</li><li>relational table</li></ul>,custom reports
"<b> Is it possible to measure how far someone scrolls on a page using Google Analytics? If so, how?</b><br><ul><li>yes, with a calculated metric</li><li>yes, by viewing in page analytics</li><li>yes, with event tracking</li><li>no, not possible</li></ul>","yes, by viewing in page analytics"
"<b> When you enable advertising features, what do you gain access to?</b><br><ul><li>Google Ads data sync</li><li>enhanced UTM tracking</li><li>Google Adsense data sync</li><li>Demographics and Interests reports</li></ul>",Demographics and Interests reports
<b> What is the latest version of the analytics tracking tag?</b><br><ul><li>gtag.js</li><li>urchin.js</li><li>gaq.push and ga.js</li><li>analytics.js</li></ul>,gtag.js
<b> What is an example of a dimension?</b><br><ul><li>Sessions</li><li>Bounce Rate</li><li>Conversions</li><li>Source/Medium</li></ul>,Source/Medium
<b> Which report displays the page a visitor arrived on?</b><br><ul><li>Behavior Flow</li><li>Exit Pages</li><li>Landing Pages</li><li>Channels</li></ul>,Landing Pages
"<b> You are tracking events of playback of video on the home page of a website. You want users who watch the video, but still leave the page with no additional pageviews or interactions, to still be included in the bounce rate calculation. What must be configured?</b><br><ul><li>non-interaction event</li><li>implicit event</li><li>advanced events</li><li>default event</li></ul>",non-interaction event
<b> Which attribution model does Google Analytics apply by default for standard reports?</b><br><ul><li>Linear</li><li>First Interaction</li><li>Last Interaction</li><li>Last Non-Direct Click</li></ul>,Last Non-Direct Click
"<b> If you want to track one destination goal but have two URLs that could trigger the goal (for example,/thank-you and /checkout-complete), what approach can you use?</b><br><ul><li>Create a content grouping, and then use the group as the destination.</li><li>Add the additional page as a funnel step.</li><li>Use a regular expression when adding the goal destination.</li><li>That is not possible.</li></ul>",Use a regular expression when adding the goal destination.
"<b> If you created a calculated metric that returned a value of ""</b><br><ul><li>0:01:20</li><li>80</li><li>80:00:00</li><li>1:20:00</li></ul>",80
"<b> You want to compare the revenue, top products, and average order value between people who viewed three or more pages on your site, to those who viewed fewer. What do you do?</b><br><ul><li>Create a custom report where Page Depth is >/3 or Page Depth is <3. Toggle on Revenue, Top Products, and Average Order Value as Dimensions.</li><li>View the Product Performance report and add Page Depth as a secondary dimension. Create a table filter for Page Depth greater than 3 and Page Depth less than 3.</li><li>Create a custom segment where Page Depth is >/3 and another segment where Page Depth is <3. Apply both segments while on the Ecommerce Overview report.</li><li>View the Ecommerce Overview report and create a table filter where Page Depth is >/3 or Page Depth is <3.</li></ul>",Create a custom segment where Page Depth is >/3 and another segment where Page Depth is <3. Apply both segments while on the Ecommerce Overview report.
"<b> If you wanted to create a user-defined metric to measure Revenue per User, what would you use?</b><br><ul><li>ecommerce metrics</li><li>custom dimensions</li><li>calculated metrics</li><li>custom metrics</li></ul>",calculated metrics
"<b> You are managing analytics for a recipe website that has the following categories: Appetizers, Main Dishes, and Desserts. What do you create in order to compare aggregated data of all recipes in the Appetizer category vs. all recipes in the Desserts category?</b><br><ul><li>custom channels</li><li>advanced filters</li><li>content grouping</li><li>custom segments</li></ul>",content grouping<br><br>[answer](https://support.google.com/analytics/answer/2853423?hl=en)<br>
<b> How would you add a secondary dimension to a report?</b><br><ul><li>from the Insights panel</li><li>from the Secondary dimension menu</li><li>all of these answers</li><li>with a table filter</li></ul>,from the Secondary dimension menu
"<b> You operate a website that has a three-step sign-up process. However, each step of the sign-up process loads at the same URL. If you wanted to assign a unique URL to each step and track it within Google Analytics as a pageview, what would you do?</b><br><ul><li>Use virtual pageviews.</li><li>Configure a campaign URL.</li><li>Use the preview tag.</li><li>Use event tracking.</li></ul>",Use event tracking.
<b> It is a best practice to always have one of what kind of view?</b><br><ul><li>property</li><li>custom</li><li>segmented</li><li>unfiltered</li></ul>,unfiltered
<b> You send an email including a link to your website without any UTM parameters. A visitor clicks that link from a secured (https) email platform such as Gmail. What source is shown for that traffic?</b><br><ul><li>Email</li><li>Referral</li><li>(other)</li><li>Direct</li></ul>,Referral
<b> Which type of goal allows you to specifiy a funnel?</b><br><ul><li>Destination</li><li>Duration</li><li>Pages/Screens per Session</li><li>Event</li></ul>,No answer found
<b> What is an interaction that causes data to be sent to Analytics?</b><br><ul><li>dimension</li><li>metric</li><li>hit</li><li>tag</li></ul>,hit
